,角色,实名,编码2,性别,生日 ,星座,编码3,血型,,,
游剑江湖,孟元超,陈龙,E,男,1975/7/24,狮子座 ,8—12,,,,
游剑江湖,廖长风,何家劲,A,男,1959/12/29,摩羯座,2—33,,,,
游剑江湖,云紫萝,郭羡妮,C,女,1974/6/12,双子座 ,6—23,,,,
游剑江湖,林无双,陈怡蓉,B,女,1979/3/13,双鱼座 ,3—11,,,,
游剑江湖,杨牧,陈锦鸿,B,男,1967/1/1,摩羯座 ,2—33,,,,
游剑江湖,宋腾宵,朱雨辰,A,男,1979/2/27,双鱼座,6—23,,,,
游剑江湖,吕思美,李倩,D,女,1984/3/6,双鱼座 ,6—23,,,,
游剑江湖,牟宗涛,李天翔,C,男,,,,,,,
游剑江湖,练彩虹,姚岚,A,,,,,,,,
游剑江湖,桑青,李佳倚,Z,,,,,,,,
游剑江湖,石卫,袁文飞,X,男,,,,,,,
,,,,,,,,,,,
武林外史,沈浪,黄海冰,A,男,1973/7/23,狮子座,8—12,B型,,,
武林外史,白飞飞,王艳,D,女,1975/2/11,水瓶座,1—14,O,,,
武林外史,朱七七,张琰琰,A,男,1978/11/15,,,O型,,,
武林外史,熊猫儿,朱宏嘉,C,男,1970/9/23,天秤座,10—34,,,,
武林外史,王怜花,卓凡,,,,,,,,,
武林外史,快活王,王建新,,,,,,,,,
武林外史,王云梦,戴春荣,,,,,,,,,
武林外史,朱富贵,岳跃利,D,男,6月5日,双子座,6—23,,,,
武林外史,百灵,史可,E,女,1967-03-00,双鱼座 ,3—11,,,,
武林外史,小泥巴,李倩,,,,,,,,,
武林外史,气使宋离,万弘杰,,,,,,,,,
武林外史,色使阿音,崔哲铭,,,,,,,,,
武林外史,金不换,程思寒,,,,,,,,,
武林外史,冷二爷,杨升,,,,,,,,,
武林外史,驴蛋,张晋,,,,,,,,,
武林外史,小四,杨俊毅,,,,,,,,,
,,,,,,,,,,,
乌金血剑,风亦飞,刘锡明,,,,,,,,,
乌金血剑,风亦乐,罗嘉良,,,,,,,,,
乌金血剑,唐剑儿,周慧敏,,,,,,,,,
乌金血剑,朱君宇,张兆辉,,,,,,,,,
